school,test_optional
Central Michigan,Yes
Oklahoma State University,Yes
Bradley University,Yes
Seton Hall University,Yes
Biola University,Yes
Ursinus College,Yes
Montclair State,Yes
Clarkson University,Yes
Michigan State University,Yes
Hollins University,Yes
Creighton University,Yes
California Lutheran University,Yes
University of Mary Washington,Yes
Christopher Newport University,No
University of California—Merced,Yes
Mercer University,Yes
University of Dayton,Yes
Lewis & Clark College,Yes
Hendrix College,Yes
University of Rhode Island,Yes
California State University--Chico,TB
Stetson University,Yes
Quinnipiac University,Yes
Duquesne University,Yes
University of Illinois—​Chicago,Yes
University of Akron,Yes
St. John's University (NY),Yes
University of Cincinnati,Yes
Simmons University,Yes
Wayne State University,Yes
Butler University,Yes
Point Loma Nazarene University,Yes
University of North Texas,No
University of North Georgia,Yes
Xavier University,Yes
Wheaton College (MA),Yes
Eastern Michigan,No
University of Washington--Bothell,Yes
Adelphi University,Yes
Baldwin Wallace University,Yes
Michigan Technological University,Yes
Drexel University,Yes
University of Redlands,Yes
Loyola University New Orleans,TB
California State University--Monterey Bay,TB
Whittier College,No
Kalamazoo College,Yes
Towson University,Yes
Centre College,Yes
University of Texas San Antonio,Yes
Ball State,Yes
James Madison University,Yes
Appalachian State University,Yes
Indiana University—​Bloomington,Yes
High Point University,Yes
Virginia Commonwealth University,No
University of Arkansas—​Fayetteville,No
John Brown University,Yes
University of Idaho,Yes
University of Missouri,Yes
Willamette University,Yes
University of Nebraska—​Lincoln,No
Carroll College,No
College of Charleston,Yes
University of Colorado—​Boulder,Yes
Elon University,Yes
Seattle University,Yes
University of Texas—​Dallas,Yes
East Carolina,Yes
University of Tennessee,Yes
University of Texas Arlington,Yes
Pacific Lutheran University,Yes
Western Michigan,Yes
Loyola University Maryland,Yes
Miami University—​Oxford,Yes
Goucher College,Yes
University of Oklahoma,Yes
Auburn University,Yes
University of Nevada—​Las Vegas,No
Boise State,TB
St. Mary's College of California,Yes
Siena College,Yes
University of North Dakota,Yes
Texas State University,Yes
Colorado State University,Yes
University of Memphis,Yes
West Virginia University,Yes
University of Oregon,Yes
University of St. Thomas (MN),Yes
St. Mary's College (IN),Yes
Illinois State,Yes
Ohio University,Yes
California State University--Sacramento,TB
University of North Carolina—​Greensboro,Yes
University of Iowa,Yes
St. Michael's College,Yes
University of Alaska Anchorage,Yes
Marquette University,Yes
College of St. Benedict,Yes
Oregon State University,Yes
The Catholic University of America,TB
University of Puget Sound,Yes
University of New Hampshire,Yes
Missouri University of Science & Technology,Yes
St. Mary's College of Maryland,Yes
University of Arizona,Yes
Susquehanna University,Yes
Arizona State University—​Tempe,No
Wheaton College (IL),Yes
Northern Arizona,Yes
Washington and Jefferson College,Yes
Kent State,Yes
Mills College,Yes
Hope College,Yes
Valparaiso University,Yes
George Mason University,Yes
Old Dominion,Yes
Missouri State,No
University of Wisconsin Milwaukee,Yes
Transylvania University,Yes
Weber State,Yes
University of Maine,Yes
Humboldt State University,TB
Utah State,Yes
Iowa State University,Yes
Washington College,Yes
University of Montana,Yes
Samford University,Yes
University of Kansas,No
University of Kentucky,Yes
University of Toledo,Yes
Kansas State University,No
Portland State,Yes
Queens University of Charlotte,Yes
Western Kentucky,No
United States Naval Academy,No
United States Military Academy,No
United States Air Force Academy,No
United States Coast Guard Academy,No
United States Merchant Maritime Academy,No
Howard University,No
Florida State University,No
Hillsdale College,No
University of Central Florida,No
University of Florida,No
University of South Florida,No
Gallaudet University,No
Florida International,No
Morehouse College,No
University of Alabama,No
Milwaukee School of Engineering,No
Florida Institute of Technology,No
Louisiana State University—​Baton Rouge,No
The Citadel,No
New College of Florida,No
Thomas Aquinas College,No
University of Texas Rio Grande Valley,No
University of South Dakota,No
University of Mississippi,No
University of Wyoming,No
University of Texas El Paso,No
